municipality,roll_no_txt,civic_address,dwelling_units,classes,event_year,kind,confidence,buildings,buildings_prev,gain,is_primary,legal_description
500 - CITY OF BRANDON,391615.000,1315 LARK ST,32,R2,2024,appeared,high,5661100,108400,5552700,TRUE,7/8-4-1120
500 - CITY OF BRANDON,21733.000,155 18TH ST,29,OTHER|R2,2024,appeared,high,5383600,0,5383600,TRUE,DESC 1/11-52-2
433 - CITY OF MORDEN,301810.000,985 Wardrop ST,60,R2,2024,appeared,high,5336300,0,5336300,TRUE,1--54760
409 - TOWN OF CARMAN,5700.000,120 4TH AVE SW,22,INST|OTHER|R2,2024,expanded,high,7801600,2656200,5145400,FALSE,DESC NE24-6-5W
437 - TOWN OF NEEPAWA,67000.000,351 MOUNTAIN AVE,36,R2,2024,appeared,high,4958900,0,4958900,TRUE,A&B--69785
139 - RM OF LAC DU BONNET,290400.000,308 LEE RIVER RD,78,R1,2024,expanded,high,6824400,1897300,4927100,TRUE,DESC NW34-15-12E
129 - RM OF GIMLI,183200.000,21 BALL PARK WAY,40,R2,2024,appeared,high,4703700,52600,4651100,TRUE,2--69633
451 - CITY OF STEINBACH,461340.000,4 BRIGHTON LANE,108,R2,2024,expanded,high,11668000,7259000,4409000,FALSE,1/2--53905
451 - CITY OF STEINBACH,23000.000,111 FIRST ST,30,R2,2024,appeared,high,4031600,0,4031600,TRUE,A--69098
139 - RM OF LAC DU BONNET,278570.000,,70,R1,2024,expanded,high,7612300,3653300,3959000,TRUE,3-37290
340 - TOWN OF NIVERVILLE,22500.000,93 4TH AVE S,48,R2,2024,expanded,high,6712100,3170800,3541300,TRUE,13-6-19956
135 - RM OF HANOVER,113732.000,86 CRESTVIEW LANE,27,R2,2024,appeared,high,3500800,0,3500800,TRUE,22--66769
194 - RM OF TACHE,42370.000,277 SAND PIPER TRL,40,R2,2024,expanded,high,5101300,1663200,3438100,TRUE,14-4-65400
194 - RM OF TACHE,42275.000,348 SAND PIPER TRL,26,R2,2024,appeared,high,3385800,0,3385800,TRUE,14-1-65400
463 - CITY OF WINKLER,203356.000,445 NORTHLANDS PKY,120,R2,2024,expanded,high,7830300,4698300,3132000,FALSE,-1-62132
500 - CITY OF BRANDON,82131.000,725 VAN HORNE AVE,18,R2,2024,appeared,high,3102400,0,3102400,TRUE,DESC A--43705
437 - TOWN OF NEEPAWA,1440.000,31 - 37 HOWDEN AVE,32,R2,2024,appeared,high,3071400,0,3071400,FALSE,65--65638
135 - RM OF HANOVER,113711.000,129 ROCKRIDGE DR,20,R2,2024,appeared,high,2958100,0,2958100,TRUE,1--66769
139 - RM OF LAC DU BONNET,304710.000,,58,R1,2024,expanded,high,2826300,153700,2672600,TRUE,2-14530
139 - RM OF LAC DU BONNET,176700.000,10 HEATHER RD,39,R1,2024,appeared,high,2533900,104300,2429600,TRUE,DESC SW16-15-11E
451 - CITY OF STEINBACH,220700.000,Unit 1-8 - 71 CHRYSLER GATE,8,R3,2024,appeared,high,2371900,0,2371900,TRUE,1/8-73094
194 - RM OF TACHE,83410.000,14 RIVER RIDGE DR,96,R2,2024,appeared,high,2279300,0,2279300,FALSE,2-1-66962
194 - RM OF TACHE,42255.000,272 SAND PIPER TRL,30,R2,2024,expanded,high,3535000,1281000,2254000,TRUE,13-1-65400
129 - RM OF GIMLI,374700.000,47 1ST AVE,8,OTHER,2024,appeared,high,2036600,0,2036600,TRUE,DESC 49-7-13744L
351 - TOWN OF STE. ANNE,44000.000,748 TRAVERSE RD,16,R2,2024,appeared,high,1855400,0,1855400,TRUE,1-25954
138 - RM OF LA BROQUERIE,103216.000,185 CHEMIN TETRAULT RD,75,R2,2024,new_roll,med,1626800,0,1626800,FALSE,B--70849
433 - CITY OF MORDEN,210475.000,427 LOREN DR,15,R2,2024,appeared,high,1478600,0,1478600,FALSE,2--62301
500 - CITY OF BRANDON,33225.000,1609 ROSSER AVE,8,R2,2024,appeared,high,1440200,5700,1434500,TRUE,DESC 1/3-84-2
340 - TOWN OF NIVERVILLE,22200.000,78 3RD AVE S,10,R2,2024,appeared,high,1352500,0,1352500,TRUE,2--68209
463 - CITY OF WINKLER,39700.000,115 MAIN ST S,9,R2,2024,expanded,high,1265300,143300,1122000,TRUE,DESC 5/6--283
400 - TOWN OF ALTONA,58600.000,240 4TH AVE SE,8,R2,2024,appeared,high,1092400,1200,1091200,TRUE,DESC 14/15--829
182 - MUNICIPALITY OF ROBLIN,315200.000,355 6TH AVE NW,59,R1,2024,expanded,high,1160900,74800,1086100,TRUE,DESC -M-167
500 - CITY OF BRANDON,66035.000,1262 1ST ST,6,R2,2024,appeared,high,1079400,6200,1073200,TRUE,1/3-24-7
451 - CITY OF STEINBACH,144817.000,13 BEAVER CRES,10,R2,2024,appeared,high,1011700,0,1011700,TRUE,A--69403
451 - CITY OF STEINBACH,144819.000,17 BEAVER CRES,10,R2,2024,appeared,high,914900,0,914900,TRUE,B--69403
409 - TOWN OF CARMAN,73700.000,48 4TH AVE SW,8,R2,2024,appeared,high,900300,29900,870400,TRUE,EFGH--53355
409 - TOWN OF CARMAN,37600.000,105 2nd ST NW,6,R2,2024,appeared,high,863600,0,863600,TRUE,DESC 13/16-39-31
152 - RM OF MORRIS,202630.000,9 Ember DR,12,R2,2024,expanded,high,1647500,795500,852000,TRUE,A&B--63639
135 - RM OF HANOVER,144000.091,28 BARAK DR,18,R2,2024,expanded,high,1891300,1110800,780500,FALSE,65--56022
435 - TOWN OF MORRIS,105350.000,4 AGASSIZ TRL,6,R2,2024,appeared,high,722200,0,722200,TRUE,1--70069
435 - TOWN OF MORRIS,105325.000,12 AGASSIZ TRL,6,R2,2024,appeared,high,719000,0,719000,TRUE,2--70069
138 - RM OF LA BROQUERIE,114405.156,38 DES PIGNONS ST,5,R2,2024,appeared,high,716800,0,716800,TRUE,1--55892
165 - RM OF RITCHOT,87100.000,359 DUFAULT DR,12,R2,2024,expanded,high,1112100,460800,651300,TRUE,30-4930
157 - MUNICIPALITY OF OAKLAND-WAWANESA,221550.000,204 COMMERCIAL ST,4,R1,2024,appeared,high,624400,0,624400,TRUE,1-13-2091
437 - TOWN OF NEEPAWA,53000.000,270 MAIN ST E,4,R1,2024,appeared,high,565900,0,565900,TRUE,20/21-81-256
612 - RM OF STUARTBURN,117200.000,225 - 227 1ST ST W,12,R1,2024,expanded,high,1234100,731100,503000,FALSE,2--47673
500 - CITY OF BRANDON,62984.000,1334 7TH ST,6,R1,2024,appeared,high,491800,0,491800,FALSE,DESC 11/14-15-7
409 - TOWN OF CARMAN,52200.000,11 MAIN ST S,14,OTHER|R2,2024,expanded,high,886300,478900,407400,TRUE,11/15-7-33408
550 - CITY OF PORTAGE LA PRAIRIE,124700.000,19 5TH ST NW,6,R2,2024,expanded,high,694700,290000,404700,TRUE,DESC 45/46--17
407 - TOWN OF CARBERRY,78300.000,442 WHEATLAND DR,8,R2,2024,expanded,high,446800,48400,398400,TRUE,2/3--25445
194 - RM OF TACHE,42719.000,10 A/B FIRST AVE S,8,R1,2024,expanded,high,569400,244800,324600,TRUE,2--71540
176 - RM OF ST. CLEMENTS,660430.000,60 ARNHOLD ST,5,OTHER|R1,2024,expanded,high,419300,243600,175700,TRUE,DESC 9/10-5899
198 - RM OF VICTORIA BEACH,106540.000,19 ATEAH RD,3,R1,2024,expanded,high,336800,197000,139800,TRUE,9--13728
176 - RM OF ST. CLEMENTS,653900.000,210 ARNHOLD ST,6,R1,2024,expanded,high,276000,157200,118800,TRUE,DESC 4/5--4914
127 - MUNICIPALITY OF EMERSON-FRANKLIN,226515.000,27092 13N,3,R1,2024,expanded,high,246500,145900,100600,TRUE,1-14204
500 - CITY OF BRANDON,424739.000,1640 SYCAMORE DR,208,R2,2023,expanded,low,27161900,11189700,15972200,TRUE,A-1547
121 - RM OF EAST ST. PAUL,79800.000,1915 HODDINOTT RD,48,R2,2023,appeared,med,11008600,77200,10931400,TRUE,DESC RL94-PA-13069
165 - RM OF RITCHOT,161530.000,1 - 5 TOUROND CREEK DR,91,R2,2023,appeared,high,8480200,0,8480200,TRUE,1-1-60418
451 - CITY OF STEINBACH,5206.000,181 PENFELD DR,45,R2,2023,appeared,high,5589200,0,5589200,TRUE,1-8-22520
437 - TOWN OF NEEPAWA,65100.000,307 DAVIDSON ST,48,R2,2023,appeared,high,5483900,0,5483900,TRUE,DESC 3/6-118-256
500 - CITY OF BRANDON,391789.000,501 BRAECREST DR,108,R2,2023,expanded,low,9932500,4782300,5150200,FALSE,1/3&17/20-4-1120
146 - RM OF MACDONALD,52210.000,180 FOREST DR,46,R2,2023,expanded,low,9793000,4667500,5125500,TRUE,1--68403
463 - CITY OF WINKLER,203356.000,445 NORTHLANDS PKY,120,R2,2023,appeared,high,4698300,0,4698300,FALSE,-1-62132
451 - CITY OF STEINBACH,22400.000,71 FIRST ST,32,R2,2023,appeared,high,4441800,0,4441800,TRUE,2--65318
401 - TOWN OF BEAUSEJOUR,78050.000,816 GERTRUDE AVE,22,R2,2023,appeared,high,4426700,0,4426700,TRUE,B--68584
500 - CITY OF BRANDON,17533.000,705 LORNE AVE,30,INST,2023,appeared,high,4178300,0,4178300,TRUE,1/6-41-2
560 - CITY OF THOMPSON,5806.000,510 STATION RD,30,R2,2023,appeared,med,4003900,166900,3837000,TRUE,2--71253
110 - RM OF BROKENHEAD,36700.000,21 - 23 PINE AVE,68,R2,2023,expanded,low,7213300,3756200,3457100,FALSE,DESC 2/6-9-928
340 - TOWN OF NIVERVILLE,22500.000,93 4TH AVE S,48,R2,2023,appeared,med,3170800,21800,3149000,FALSE,13-6-19956
451 - CITY OF STEINBACH,19230.000,220 WOODHAVEN AVE,21,R2,2023,appeared,high,3012100,0,3012100,TRUE,5--67258
451 - CITY OF STEINBACH,19250.000,236 WOODHAVEN AVE,14,R2,2023,appeared,high,2748100,0,2748100,TRUE,1--67258
451 - CITY OF STEINBACH,3150.000,191 MAPLEWOOD ST,24,R2,2023,appeared,high,2595800,0,2595800,TRUE,1--68685
135 - RM OF HANOVER,113734.000,72 CRESTVIEW LANE,16,R2,2023,appeared,high,2313800,0,2313800,TRUE,24--66769
435 - TOWN OF MORRIS,105100.000,40 Agassiz TRL,12,R2,2023,appeared,high,1695600,0,1695600,TRUE,22--63780
194 - RM OF TACHE,42370.000,277 SAND PIPER TRL,40,R2,2023,appeared,high,1663200,0,1663200,FALSE,14-4-65400
135 - RM OF HANOVER,187700.000,30032 PTH 52,12,OTHER|R1|R2,2023,expanded,low,2092900,646100,1446800,TRUE,1--41609
451 - CITY OF STEINBACH,19200.000,232 WOODHAVEN AVE,9,R2,2023,appeared,high,1426500,0,1426500,TRUE,2--67258
435 - TOWN OF MORRIS,105000.000,54 Agassiz TRL,24,R2,2023,expanded,low,2460600,1173300,1287300,TRUE,21--63780
194 - RM OF TACHE,42255.000,272 SAND PIPER TRL,30,R2,2023,appeared,high,1281000,0,1281000,FALSE,13-1-65400
433 - CITY OF MORDEN,131250.000,155 North Railway ST,8,R2,2023,appeared,high,1237800,0,1237800,TRUE,2--64552
135 - RM OF HANOVER,113733.000,80 CRESTVIEW LANE,18,R2,2023,appeared,high,1137100,0,1137100,FALSE,23--66769
500 - CITY OF BRANDON,512566.000,729 17TH ST,3,OTHER|R2,2023,appeared,high,1096000,0,1096000,TRUE,1-21365
135 - RM OF HANOVER,113730.000,51 EDGEMONT PL,16,R2,2023,expanded,low,2062900,994700,1068200,TRUE,20--66769
435 - TOWN OF MORRIS,105225.000,,8,R2,2023,new_roll,med,1052200,0,1052200,TRUE,1--68393
135 - RM OF HANOVER,113731.000,61 EDGEMONT PL,16,R2,2023,expanded,low,1987400,955500,1031900,TRUE,21--66769
500 - CITY OF BRANDON,1198.000,338 LOUISE AVE,6,R2,2023,appeared,high,956200,0,956200,TRUE,DESC 11/13-3-2
135 - RM OF HANOVER,113756.000,52 EDGEMONT PL,6,R2,2023,appeared,high,890700,0,890700,TRUE,46--66769
300 - TOWN OF ARBORG,13700.000,508 RIVER RD,6,R2,2023,appeared,high,876800,0,876800,TRUE,11/14-5-2201
135 - RM OF HANOVER,113759.000,22 EDGEMONT PL,6,R2,2023,appeared,high,856300,0,856300,TRUE,49--66769
400 - TOWN OF ALTONA,375.000,147 MAIN ST NE,6,R2,2023,appeared,high,855700,0,855700,TRUE,1--70447
500 - CITY OF BRANDON,32672.000,19 13TH ST,15,INST,2023,expanded,low,920900,91400,829500,TRUE,19/21-80-2
135 - RM OF HANOVER,113757.000,38 EDGEMONT PL,6,R2,2023,appeared,high,816700,0,816700,TRUE,47--66769
451 - CITY OF STEINBACH,19260.000,180 LUND RD,6,R2,2023,appeared,high,810500,0,810500,TRUE,7--67258
152 - RM OF MORRIS,202630.000,9 Ember DR,12,R2,2023,appeared,high,795500,0,795500,FALSE,A&B--63639
451 - CITY OF STEINBACH,464548.000,62 - 68 ASHFORD LANE,4,R2,2023,appeared,high,614500,0,614500,TRUE,20--54371
448 - TOWN OF SNOW LAKE,64600.000,8 TAYLOR BAY,3,R1,2023,appeared,med,632700,19000,613700,TRUE,DESC 8-2-37917
196 - MUNICIPALITY OF KILLARNEY-TURTLE MOUNTAIN,377300.000,110 CLARK AVE,34,INST,2023,expanded,low,1151200,615600,535600,TRUE,DESC 2/5-37-457
500 - CITY OF BRANDON,58404.000,1404 6TH ST,3,R1,2023,appeared,high,518000,0,518000,TRUE,13/14-3-7
411 - CITY OF DAUPHIN,234200.000,610 BUCHANON AVE,6,R1,2023,appeared,high,498000,0,498000,TRUE,11/13-10-420
447 - CITY OF SELKIRK,91600.000,210 - 226 ROBINSON AVE,9,R1,2023,expanded,low,980100,511000,469100,TRUE,5/12-4-571
447 - CITY OF SELKIRK,90900.000,201 - 215 ROBINSON AVE,11,R1,2023,expanded,low,1208700,739900,468800,TRUE,DESC RL61-CL-0
612 - RM OF STUARTBURN,117200.000,225 - 227 1ST ST W,12,R1,2023,expanded,low,731100,265500,465600,FALSE,2--47673
451 - CITY OF STEINBACH,103550.000,299 KROEKER AVE,24,INST,2023,new_roll,med,396300,0,396300,TRUE,1--70218
129 - RM OF GIMLI,188673.000,228 MUNICIPAL DR,17,R2,2023,expanded,low,796800,464300,332500,TRUE,8-7-23733
550 - CITY OF PORTAGE LA PRAIRIE,341518.000,709 WILLOW BAY,3,R1,2023,appeared,high,310300,0,310300,TRUE,5-4-1741
165 - RM OF RITCHOT,89600.000,503 MAIN ST,12,R2,2023,expanded,low,466400,184400,282000,TRUE,DESC A-10972
447 - CITY OF SELKIRK,149780.000,26 - 28 OUTHWAITE DR,6,R1,2023,expanded,low,641400,370500,270900,TRUE,16-13055
463 - CITY OF WINKLER,29500.000,345 2ND ST,8,R2,2023,expanded,low,473800,240300,233500,TRUE,6-2-244
702 - MUNICIPAL AND NORTHERN RELATIONS,196100.000,,3,R1,2023,expanded,low,279100,55200,223900,TRUE,2--42644
129 - RM OF GIMLI,304200.000,31 7TH AVE,10,R2,2023,expanded,low,552100,338700,213400,TRUE,DESC 57/59-1-13744L
560 - CITY OF THOMPSON,126600.000,35 FOX BAY,7,R2,2023,expanded,low,284200,71400,212800,TRUE,14-92-760
600 - RM OF ALEXANDER,112600.000,104058 PTH 11,4,R1,2023,expanded,low,305300,133000,172300,TRUE,C--5158
500 - CITY OF BRANDON,20529.000,264 15TH ST,10,R2,2023,expanded,low,438400,267300,171100,TRUE,DESC 1/4-49-2
449 - MUNICIPALITY OF SOURIS-GLENWOOD,16100.000,90 4TH ST S,3,R1,2023,expanded,low,319100,167400,151700,TRUE,10/12-2-27653
457 - TOWN OF THE PAS,17100.000,680 CATHEDRAL AVE E,3,R1,2023,expanded,low,432100,280400,151700,TRUE,19/21-2-440
121 - RM OF EAST ST. PAUL,84010.000,3110 BIRDS HILL RD,8,R2,2023,expanded,low,351900,207300,144600,TRUE,DESC 12--11579
550 - CITY OF PORTAGE LA PRAIRIE,196400.000,110 ROYAL RD N,6,R2,2023,expanded,low,298200,161800,136400,TRUE,481/482--12
451 - CITY OF STEINBACH,108000.000,299 HENRY ST,3,R1,2023,expanded,low,208000,86000,122000,TRUE,DESC 29/30-1-6174
445 - MUNICIPALITY OF RUSSELL-BINSCARTH,26500.000,203 MEMORIAL AVE N,3,R1,2023,expanded,low,229700,108700,121000,TRUE,18/20-106-O
189 - RM OF SPRINGFIELD,289760.000,68008 PR 212 RD 30E,10,R2,2023,expanded,low,314400,197400,117000,TRUE,4-15969
600 - RM OF ALEXANDER,133747.000,107010 304 PR RD,8,R2,2023,expanded,low,291600,175800,115800,TRUE,3-3-22454
433 - CITY OF MORDEN,44800.000,185 MOUNTAIN ST S,6,R2,2023,expanded,low,295500,185100,110400,TRUE,DESC 4-3-856
115 - RM OF COLDWELL,38300.000,103138 HWY 6,3,OTHER|R1,2023,expanded,low,193000,84400,108600,TRUE,DESC NE12-18-5W
114 - MUNICIPALITY OF CLANWILLIAM-ERICKSON,218000.000,39 MAIN ST,3,OTHER|R1,2023,expanded,low,157500,50500,107000,TRUE,8-2-385
409 - TOWN OF CARMAN,5700.000,120 4TH AVE SW,22,INST|OTHER|R2,2022,expanded,high,18129500,4119900,14009600,TRUE,DESC NE24-6-5W
500 - CITY OF BRANDON,424739.000,1640 SYCAMORE DR,208,R2,2022,appeared,high,11189700,0,11189700,FALSE,A-1547
201 - RM OF WEST ST. PAUL,52800.000,3813 MAIN ST,139,R2,2022,expanded,high,23809800,13035900,10773900,FALSE,DESC RL24/25-PA-3992
447 - CITY OF SELKIRK,287538.000,900 VAUGHAN AV,84,R2,2022,expanded,high,15187500,7246200,7941300,TRUE,-4-64866
208 - RM OF HEADINGLEY,104960.000,29 BLUMBERG TRL,36,R2,2022,appeared,high,7170600,0,7170600,TRUE,-4-60053
453 - TOWN OF STONEWALL,110440.000,600 3rd AVE S,33,R2,2022,appeared,high,5469400,0,5469400,TRUE,1--68346
451 - CITY OF STEINBACH,461340.000,4 BRIGHTON LANE,108,R2,2022,appeared,high,5311000,0,5311000,TRUE,1/2--53905
351 - TOWN OF STE. ANNE,35000.000,109 ST GERARD ST,38,R2,2022,appeared,high,5087600,156000,4931600,TRUE,-3-16410
437 - TOWN OF NEEPAWA,1450.000,23 HOWDEN AVE,24,R2,2022,appeared,high,4259600,0,4259600,TRUE,66--65638
110 - RM OF BROKENHEAD,36700.000,21 - 23 PINE AVE,68,R2,2022,appeared,high,3756200,0,3756200,TRUE,DESC 2/6-9-928
194 - RM OF TACHE,107390.000,265 MARCOUX AVE,48,R1,2022,expanded,high,6940000,3324100,3615900,TRUE,1--59649
351 - TOWN OF STE. ANNE,42100.000,54 VOYAGEUR DR,60,R2,2022,appeared,high,3487800,0,3487800,TRUE,DESC RL60-AN-3626
550 - CITY OF PORTAGE LA PRAIRIE,362806.000,305 OXFORD COMN,12,R2,2022,appeared,high,3158800,0,3158800,TRUE,4--65578
451 - CITY OF STEINBACH,19240.000,216 WOODHAVEN AVE,21,R2,2022,new_roll,med,2742600,0,2742600,TRUE,6--67258
500 - CITY OF BRANDON,92163.000,710 FRANKLIN ST,12,R2,2022,appeared,high,1944600,0,1944600,TRUE,36/40-22-9
451 - CITY OF STEINBACH,464536.000,51 ASHFORD LANE,22,R2,2022,expanded,high,2650900,708600,1942300,TRUE,16/17--54371
616 - LGD OF PINAWA,3980.000,70 VANIER AV,16,R2,2022,appeared,high,1711500,0,1711500,TRUE,F&N--54268
447 - CITY OF SELKIRK,207200.000,425 MAIN ST,8,OTHER|R2,2022,appeared,high,1524000,0,1524000,TRUE,161/162-4L
447 - CITY OF SELKIRK,22900.000,210 MAIN ST,6,R1,2022,appeared,high,1521800,0,1521800,TRUE,DESC RL40-CL-0
178 - RM OF ST. LAURENT,25932.000,Father Guy Lavallee BAY,9,OTHER|R1,2022,appeared,high,1453600,0,1453600,TRUE,16-11790
451 - CITY OF STEINBACH,24800.000,70 FIRST ST,20,R2,2022,expanded,high,2518900,1232900,1286000,TRUE,DESC A--67665
451 - CITY OF STEINBACH,464544.000,54 ASHFORD LANE,10,R2,2022,appeared,high,1245100,0,1245100,TRUE,19--54371
138 - RM OF LA BROQUERIE,115520.000,64 - 82 JEANNE DR,10,R2,2022,appeared,high,1201300,0,1201300,TRUE,2--71477
435 - TOWN OF MORRIS,105000.000,54 Agassiz TRL,24,R2,2022,appeared,high,1173300,0,1173300,FALSE,21--63780
700 - MUNICIPAL AND NORTHERN RELATIONS,249015.000,,4,OTHER|R1,2022,expanded,high,1848200,682800,1165400,TRUE,DESC A--40744
135 - RM OF HANOVER,138100.026,37 BEECHWOOD ST,8,R2,2022,appeared,high,1152000,0,1152000,TRUE,17--54583
500 - CITY OF BRANDON,92122.000,714 FRANKLIN ST,6,R2,2022,appeared,high,1066000,0,1066000,TRUE,33/35-22-9
433 - CITY OF MORDEN,42000.000,230 9TH ST S,18,R2,2022,expanded,high,2180700,1157900,1022800,TRUE,2--67767
463 - CITY OF WINKLER,331310.000,1126 Schooner DR,8,R2,2022,appeared,high,995800,0,995800,TRUE,12-5-62132
135 - RM OF HANOVER,113730.000,51 EDGEMONT PL,16,R2,2022,appeared,high,994700,0,994700,FALSE,20--66769
135 - RM OF HANOVER,113731.000,61 EDGEMONT PL,16,R2,2022,appeared,high,955500,0,955500,FALSE,21--66769
451 - CITY OF STEINBACH,3000.000,126 MAPLEWOOD ST,9,R2,2022,appeared,high,936900,0,936900,TRUE,10/11-2-22228
500 - CITY OF BRANDON,296038.000,1010 RICHMOND AVE,6,R2,2022,expanded,high,1003500,99800,903700,TRUE,1/3-1-289
463 - CITY OF WINKLER,183153.000,182 VICTORIA ST,6,R1,2022,expanded,high,745100,70400,674700,TRUE,5-1-30045
429 - TOWN OF MELITA,45500.000,198 TOWNSEND DR,48,INST|R2,2022,expanded,high,1618000,946300,671700,TRUE,1--464
500 - CITY OF BRANDON,3442.000,418 8TH ST,4,R1,2022,appeared,high,669100,0,669100,TRUE,DESC 8-8-2
500 - CITY OF BRANDON,50872.000,202 ROSSER AVE E,4,INST,2022,appeared,high,661200,0,661200,TRUE,19/20-26-4
437 - TOWN OF NEEPAWA,133700.000,483 SECOND AVE,4,R2,2022,appeared,high,659600,0,659600,TRUE,22/24-K-1878
119 - RM OF DE SALABERRY,181610.000,163 ST. MALO ST,4,OTHER|R1,2022,expanded,high,583200,73300,509900,TRUE,1-17970
359 - MUNICIPALITY OF STE. ROSE,300.000,120 - 150 ELEVATOR ST E,4,OTHER|R1,2022,appeared,high,471000,0,471000,TRUE,DESC --408
443 - RIVERDALE MUNICIPALITY,34800.000,427 MAIN ST,4,R1,2022,appeared,high,470800,0,470800,TRUE,3/4-19-249
457 - TOWN OF THE PAS,103800.000,239 COOK AVE,4,R2,2022,appeared,high,458200,0,458200,TRUE,13-44-587
129 - RM OF GIMLI,369000.000,38 1ST AVE,3,R1,2022,appeared,high,442900,0,442900,TRUE,DESC 91-6-13744L
411 - CITY OF DAUPHIN,376900.000,27 JACKSON ST,4,R1,2022,appeared,high,429700,0,429700,TRUE,24-2995
435 - TOWN OF MORRIS,100890.000,138 Southwood RD,6,R2,2022,appeared,high,426100,0,426100,TRUE,A&B--61803
183 - YELLOWHEAD MUNICIPALITY,371484.000,520 - 522 MARY ST,27,INST,2022,expanded,high,657500,358800,298700,TRUE,B&C--67824
750 - FISHER BAY-NORTHERN AFFAIRS ACT,67300.000,,3,R1,2022,appeared,high,289600,0,289600,TRUE,DESC SE7-29-2E
437 - TOWN OF NEEPAWA,142150.000,,60,OTHER|R1,2022,new_roll,med,280700,0,280700,TRUE,B--5428
169 - RM OF ROLAND,70805.000,Unit 1-3 - 40 PACIFIC AVE,3,R1,2022,new_roll,med,267400,0,267400,TRUE,1--67598
750 - FISHER BAY-NORTHERN AFFAIRS ACT,67690.000,,3,R1,2022,appeared,high,244100,0,244100,TRUE,DESC RL01-29-2E
704 - GODS LAKE NARROWS-NORTHERN AFFAIRS ACT,244450.000,,5,R1,2022,appeared,high,232600,0,232600,TRUE,A-23849
411 - CITY OF DAUPHIN,73800.000,121 2ND AVE NE,4,R1,2022,expanded,high,244600,74600,170000,TRUE,15-32-243
167 - CARTWRIGHT-ROBLIN MUNICIPALITY,211300.000,645 BROADWAY ST,3,R1,2022,expanded,high,206500,55900,150600,TRUE,DESC 1/2-2-57
451 - CITY OF STEINBACH,45810.000,405 - 407 GIESBRECHT ST,4,R1,2022,expanded,high,240400,99900,140500,TRUE,1/2--42641
455 - TOWN OF SWAN RIVER,225200.000,526 MAIN ST,5,OTHER|R1,2022,expanded,high,293300,161900,131400,TRUE,DESC 11--3153
550 - CITY OF PORTAGE LA PRAIRIE,341920.000,1020 - 1080 DUFFERIN AVE E,123,R2,2021,appeared,high,14759300,0,14759300,TRUE,1--64028
201 - RM OF WEST ST. PAUL,52800.000,3813 MAIN ST,139,R2,2021,appeared,high,13035900,290400,12745500,TRUE,DESC RL24/25-PA-3992
550 - CITY OF PORTAGE LA PRAIRIE,362820.000,31 - 71 OXFORD COMMON,128,R2,2021,appeared,high,8590000,0,8590000,TRUE,2--52727
463 - CITY OF WINKLER,315.000,650 SOUTH RAILWAY AVE,72,R2,2021,new_roll,med,8564500,0,8564500,TRUE,DESC C--64871
447 - CITY OF SELKIRK,287538.000,900 VAUGHAN AV,84,R2,2021,new_roll,med,7246200,0,7246200,FALSE,-4-64866
500 - CITY OF BRANDON,30817.000,638 PACIFIC AVE,59,INST|R2,2021,appeared,high,5919700,139800,5779900,TRUE,1/17-66529
500 - CITY OF BRANDON,564807.000,5 OUTBACK DR,72,R2,2021,expanded,high,9589200,4203900,5385300,TRUE,25--48868
500 - CITY OF BRANDON,391789.000,501 BRAECREST DR,108,R2,2021,appeared,high,5274800,2900,5271900,FALSE,1/3&17/20-4-1120
451 - CITY OF STEINBACH,22100.000,55 FIRST ST,32,R2,2021,appeared,high,5212600,0,5212600,TRUE,1--65318
401 - TOWN OF BEAUSEJOUR,91030.270,51 KAATZ DR,35,R2,2021,appeared,high,4698200,0,4698200,TRUE,17-33306
146 - RM OF MACDONALD,52210.000,180 FOREST DR,46,R2,2021,appeared,high,4674500,0,4674500,FALSE,1--68403
500 - CITY OF BRANDON,474056.000,1 VALCOURT WAY,18,R2,2021,appeared,high,4629400,0,4629400,TRUE,1--62480
500 - CITY OF BRANDON,391631.000,735 BRAECREST DR,24,R2,2021,appeared,high,4469400,178300,4291100,TRUE,11-4-1120
194 - RM OF TACHE,107390.000,265 MARCOUX AVE,48,R1,2021,appeared,high,3324100,0,3324100,FALSE,1--59649
433 - CITY OF MORDEN,70700.000,375 THORNHILL ST,20,R2,2021,appeared,high,2735800,0,2735800,TRUE,1-12-863
451 - CITY OF STEINBACH,41700.000,124 BRANDT ST,16,R2,2021,appeared,high,2302000,0,2302000,TRUE,A--63902
550 - CITY OF PORTAGE LA PRAIRIE,333900.000,340 - 490 4TH AVE NE,12,R2,2021,appeared,high,2246000,0,2246000,TRUE,A&B&C&D&E&F--57474
451 - CITY OF STEINBACH,1580.000,50 PTH 12 N,3,OTHER|R1|R2,2021,new_roll,med,2245500,0,2245500,TRUE,A&B&C--66750
500 - CITY OF BRANDON,85159.000,204 VICTORIA AVE,12,R2,2021,appeared,high,1935500,0,1935500,TRUE,12/15-79-8
560 - CITY OF THOMPSON,169900.000,376 - 392 THOMPSON DR,48,R2,2021,expanded,high,2431900,700500,1731400,TRUE,115-777
300 - TOWN OF ARBORG,6820.000,320 THIRD AVE,12,R2,2021,appeared,high,1712300,0,1712300,TRUE,3--45459
135 - RM OF HANOVER,144000.075,12 BARAK DR,20,R2,2021,expanded,high,1925700,509900,1415800,TRUE,1/4&A&B&C-63387
351 - TOWN OF STE. ANNE,42428.000,23 SEINE RIVER CROSSING,12,R2,2021,appeared,high,1337000,0,1337000,TRUE,20--62854
